id,genre,track_name,artist_name,valence,energy
4EqCvUpjREyjrdxFnXbhAb,acoustic,I Still Haven't Found What I'm Looking For,Various Artists,0.784,0.476
4jFSBOiJwJ9OmtB7SxHeWv,acoustic,Climax (feat. Ebony Day),ortoPilot,0.457,0.351
1uXHWnZ85lhAf19DRzU3Oz,acoustic,Walking Aimlessly,Anna Ternheim,0.344,0.302
1KzxgnTo2nKbuiTlJPKCjc,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372
6cOve1ZkbX5aUPtBLBPu7F,acoustic,Don't You Worry Child,Beth,0.432,0.18
4dHEQ1W1jRmNjjB0S7vB8V,acoustic,re:stacks,Bon Iver,0.304,0.0813
4Pl8ViAolRF4rK8QBMhKd9,acoustic,Redemption Song,Bob Marley & The Wailers,0.698,0.259
2voFmcVmg8HJIjKtVrdXjj,acoustic,Say Something (feat. Carly Rose Sonenclar),Boyce Avenue,0.0948,0.127
1jJXixRlgZuqWlYwKM94Dz,acoustic,Under löven,Melissa Horn,0.547,0.428
6akbXZeXdrWWsG77ZD3cuD,acoustic,Believe,Justin Bieber,0.508,0.847
3h7fGy7n9xhS1PupWW9vJ9,acoustic,We Are Young,Kurt Hugo Schneider,0.486,0.814
6r7RzhMYGYWJ27TZwpzwgv,acoustic,You And Your Heart,Jack Johnson,0.842,0.552
72MXQsTad1er96t2mgVM01,acoustic,Walking On A Dream,Alex Cornell,0.235,0.272
2kDF8cIxXytMdZq6AmkWSs,acoustic,Glad You Came,Tiffany Alvord,0.446,0.391
7uF4MX9BEA8E7Di2I1kdij,acoustic,Wild Horses - Live / Remastered 2009,The Rolling Stones,0.203,0.47
3Qf1X9wE43iXD8RLU4zlKR,acoustic,Wrecking Ball (feat. Diamond White),Boyce Avenue,0.184,0.317
4JjPLqECP5E48MXcEc2wzA,acoustic,Tainted Love,Various Artists,0.0724,0.239
6Vc5wAMmXdKIAM7WUoEb7N,acoustic,Say Something,A Great Big World,0.0765,0.147
3C5in0EVdoGepp5bA6lhlE,acoustic,Tee Shirt - Soundtrack Version,Birdy,0.557,0.341
4eiWWDbWczW2GLqg6Lyg48,acoustic,Cups,Lulu & The Lampshades,0.767,0.854
7nnWIPM5hwE3DaUBkvOIpy,acoustic,Drive,Incubus,0.666,0.792
2nGFzvICaeEWjIrBrL2RAx,acoustic,Put Your Records On,Corinne Bailey Rae,0.542,0.511
4Sx182teh6ZFTko3z4e0Jj,acoustic,Hear the Noise That Moves So Soft and Low,James Vincent McMorrow,0.384,0.38
4cNjkFy1U24mrlbdHcc2Vq,acoustic,Waterfalls,ortoPilot,0.837,0.532
4JfhB9Kr0y2Gu0VNL79Dz1,acoustic,Best Of You - Live,Foo Fighters,0.41,0.891
1LiteNBpuy5ltDtESG1rmr,acoustic,Feel the Same,Joshua James,0.261,0.562
4vojpVoYaj4myAkIcfNKIN,acoustic,U Smile,Justin Bieber,0.419,0.605
6FVuzVYUdbPBJr6kuxgNGs,acoustic,Mirrors (feat. Fifth Harmony),Boyce Avenue,0.702,0.658
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,0.168,0.44
4AFBHrMN93QKtyQP5Pmz1t,acoustic,Perfect,Various Artists,0.598,0.432
6gr1b9QdhEkAfGbq07dBSf,acoustic,Scene Three - Stomach Tied In Knots,Sleeping With Sirens,0.613,0.435
43XA2gfgLQGKfIumzQZNCF,acoustic,Art of Motion,Andy McKee,0.609,0.256
6d0wEqM0jJTNv1asKflGGi,acoustic,Take Me to Church - Live From Spotify London,Hozier,0.287,0.217
71Qc66ucEtfXYUj6U2it9l,acoustic,Don't Stop Believin',Boyce Avenue,0.302,0.234
2ds9vlk6o6BRCc2FAkmOvX,acoustic,Beat It,Fall Out Boy,0.841,0.936
6su14iUXShlMI5SnEkwe4J,acoustic,Ho Hey,Nashville Cast,0.437,0.453
6J7cSyvSCnPwv3vqHchEfL,acoustic,If It Means a Lot to You,A Day To Remember,0.44,0.536
0nJW01T7XtvILxQgC5J7Wh,acoustic,When I Was Your Man,Bruno Mars,0.387,0.28
74XzT6sJuCIw0Py539SNQR,acoustic,"A Girl, a Boy, and a Graveyard",jeremy messersmith,0.457,0.136
2ihCaVdNZmnHZWt0fvAM7B,acoustic,Little Talks,Of Monsters and Men,0.417,0.757
13ETkZ90sElK5xJuB4cUEt,acoustic,Bonfire Heart,James Blunt,0.449,0.821
0FwkLxm84A5P3YNlZzfM0J,acoustic,One Love,Justin Bieber,0.206,0.622
33e9HtOfO1ye1h8xQ7Foc9,acoustic,The Cave,Mumford & Sons,0.345,0.499
1CbPLR6Xjo2nc0Pf13N0RS,acoustic,Pink Moon,Nick Drake,0.446,0.255
6csLL0MBNVIMx19PfsKsW7,acoustic,In the Ghetto,Elvis Presley,0.418,0.415
38xWaVFKaxZlMFvzNff2aW,acoustic,Breakeven,The Script,0.535,0.699
1c7UYTut2SBOPq64o2t0uN,acoustic,Why Georgia,John Mayer,0.369,0.639
7BzhqmRj3iOZXqMHqiifHr,acoustic,Heartbeats,Various Artists,0.316,0.15
37z3ghNvcoPvHypKWTb2Sz,acoustic,Left for America,Ciaran Lavery,0.25,0.384
39EAi3Jf7oVZ4eowrG2ppE,acoustic,Waiting...,City and Colour,0.415,0.402
3pRRYcXy3Z0PsAa8griSoF,acoustic,"Dog Days Are Over - MTV Unplugged, 2012",Florence + The Machine,0.271,0.534
5NTA3dsB2DlLaSG1KM6RTh,acoustic,The River,Bruce Springsteen,0.594,0.554
4KSZnP1VFSaytKufyzNbDO,acoustic,The Power of Love,Gabrielle Aplin,0.214,0.297
451GvHwY99NKV4zdKPRWmv,acoustic,Banana Pancakes,Jack Johnson,0.615,0.375
65n5737O8JVOzgy8wQawyi,acoustic,All That Matters,Justin Bieber,0.17,0.521
7EDxtPOBjKETkd5N0wjCt5,acoustic,The Scientist (feat. Hannah Trigwell),Boyce Avenue,0.21,0.256
4UnbdQoTvXhiKpPCBgW8Tn,acoustic,Jesus Doesn't Want Me For A Sunbeam,Nirvana,0.316,0.624
1u3PLSZ2YkkUBuapHKz29w,acoustic,Best Thing I Never Had (made famous by Beyoncé),Megan & Liz,0.382,0.11
6mFzy1Jha9RSCcQAJZ1M6y,acoustic,Gangnam Style,Jayesslee,0.591,0.391
2bbhyUWJ5VjdfI3P4PRLu2,acoustic,Samson,Regina Spektor,0.184,0.193
6cc4XOqrB8qibHbAymBPSH,acoustic,"Clarity - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004",John Mayer,0.361,0.857
2vO1wr5wIEHqQmY4jWbuhi,acoustic,Angel,Jack Johnson,0.357,0.0568
5lxNrjf5UJhcsd8zx9AB1Y,acoustic,Home,Johnnyswim,0.524,0.628
5JTfeJV7rM0Ku4Yg2boOhz,acoustic,Serpentine - Radio Edit,Chris Bathgate,0.149,0.146
2V2pxcEfn5zs79sE7qcewA,acoustic,Now And Forever,Richard Marx,0.172,0.258
78xbGcjmm02TCbhsMJsuUn,acoustic,In the Morning,Keaton Henson,0.227,0.17
0v913JHU9h91rxpuDUNJxR,acoustic,Skyscraper (feat. Megan Nicole),Boyce Avenue,0.427,0.337
7bcP9k51f1VNCaFUyZ3P5M,acoustic,Life for Rent,Dido,0.159,0.533
3KnQSveB0TCz2Lu3TaJWMJ,acoustic,Walking on a Dream,Kate Miller-Heidke,0.0974,0.294
6m0qBDIhzICOwWMPZdgyVK,acoustic,Crazy in Love,Daniela Andrade,0.489,0.326
0VZ9xPNa6ROafP6GYYuv2S,acoustic,Marry Me,Train,0.492,0.269
7utRJ4BeYx85khzP3lKoBX,acoustic,Tears in Heaven,Eric Clapton,0.312,0.242
0PZLSFZUf910nZ9qFtQqAf,acoustic,Dreamer,Isbells,0.421,0.383
4r9MqJ7MG26TFyxqr7PK01,acoustic,Emmylou,First Aid Kit,0.392,0.616
0O36Yqb2aFcThBphczYoAY,acoustic,A Drop In The Ocean,Ron Pope,0.473,0.452
0YywjDvFudcaHG74NuWISy,acoustic,People Help the People,Birdy,0.153,0.308
1MQTPiAPGHdMFVYUYWGOb3,acoustic,Happy,Gardiner Sisters,0.938,0.758
4o0NjemqhmsYLIMwlcosvW,acoustic,The Funeral,Band of Horses,0.127,0.769
4UE2pdunsfhZPJNPFGQCol,acoustic,With Or Without You (feat. Kina Grannis),Boyce Avenue,0.114,0.288
5l3CyjzfGRVMu32K5vDwgK,acoustic,Better Man,James Morrison,0.357,0.29
4FLvG5dzvorjI9USGay9wB,acoustic,Euphoria,Tyler Ward,0.272,0.624
4JKHACLkotsxdKNF9vJYOS,acoustic,Nothing Arrived - Live from Spotify London,Villagers,0.42,0.415
3xEP8kzYIjbkUrjfsgn8Hh,acoustic,Common Denominator - iTunes Bonus,Justin Bieber,0.45,0.66
6IQTaNmbMMO1mX3p8iwEBQ,acoustic,Angeles,Elliott Smith,0.588,0.0993
5eu01accYawhzzeZRAcwY6,acoustic,You're Beautiful (Clean Version),Chester See,0.213,0.321
1HYLJOB4lYI1wqDQOxlzSz,acoustic,Not Over You,Kurt Hugo Schneider,0.395,0.405
5gBIDzjs9bdZ1z8ZBGFzrv,acoustic,Perfect Day - Live,Lou Reed,0.146,0.321
1jKCHKZtGjXVRPN2Px368r,acoustic,"Tonight, Tonight",Tyler Ward,0.728,0.413
1Er5JMNcguoBMFXxwZ7BWH,acoustic,White Winter Hymnal,Fleet Foxes,0.649,0.534
2ir2gcSm7S0H1Fa7oGKfLr,acoustic,Boy With a Coin,Iron & Wine,0.295,0.566
6MDTpYxPFL0wtFd0pjfKws,acoustic,Rhythm Of Love,Plain White T's,0.726,0.542
0vg4WnUWvze6pBOJDTq99k,acoustic,You're Beautiful,James Blunt,0.454,0.479
3B7udSGy2PfgoCniMSb523,acoustic,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Howard Shore,0.234,0.0549
3AkxSspcYOvhWTkaMvqyaD,acoustic,Volcano,Damien Rice,0.437,0.289
7vFv0yFGMJW3qVXbAd9BK9,acoustic,Your Body Is a Wonderland,John Mayer,0.687,0.729
3k9qjgu8zVKTEuJVJIYyc0,acoustic,Just Breathe,Pearl Jam,0.302,0.349
7DFNE7NO0raLIUbgzY2rzm,acoustic,Let Her Go,Passenger,0.244,0.538
3piY5aMfwEEmXMV6I9kpoi,acoustic,Imagine,Various Artists,0.374,0.179
277Q2UaF8FeL7WNWQgzdlk,acoustic,Place To Be,Nick Drake,0.432,0.234
4E0lSJ6c5unoku9UIZoJSl,acoustic,Dust in the Wind,Kansas,0.419,0.251
6p0GE9BJ9TP83gO73GEbpk,afrobeat,Jaiye Jaiye (feat. Femi Kuti),WizKid,0.789,0.978
4aVuWgvD0X63hcOCnZtNFA,afrobeat,Hold the Line,TOTO,0.808,0.898
5KgU4lp0870zryRc3BEeDN,afrobeat,Roforofo Fight,Fela Kuti,0.751,0.9
2x6ve8bJoOHEKljHZnlrGu,afrobeat,Carnival Long Ago,Sofrito,0.778,0.826
5UGxudOejfGzdgfcPQJJ0J,afrobeat,Bandy Bandy,Zap Mama,0.732,0.532
0tzvR9hZYdOBveJlgVz6Sy,afrobeat,Afro Disco Beat,Various Artists,0.866,0.682
078jilHPrMLpjs8PPQoXSA,afrobeat,Mame Bamba,Youssou N'Dour,0.665,0.577
6ma7kNoIMwE9OgMwVhL3JH,afrobeat,Sawt El-wahuch (Le Chant Des Fauves),Terakaft,0.432,0.458
6hOTreO6Wm7Con3alDgL2i,afrobeat,Mogo Te Diya Bee Ye,Oumou Sangaré,0.709,0.498
3uS7o8y6YfH8GhqRzAwzAr,afrobeat,Twende Twende,Eric Wainaina,0.816,0.773
6MBZHOilZfNn5cVNRYXjVT,afrobeat,Jupa Original,Various Artists,0.859,0.677
2mFG5xZ9Uz9v4ks0QnwK5i,afrobeat,"Circle of Life - From ""The Lion King""/ Soundtrack",Various Artists,0.553,0.391
2jHdpoUfgb1fALKARNCm9D,afrobeat,Assouf,Tinariwen,0.522,0.702
4Db2j0IH9ZfsQoryddUSG7,afrobeat,O.D.O.O. - Edit Version,Fela Kuti,0.618,0.709
4SfxzVkGFzgW0U83Y8brVk,afrobeat,Yala,Oumou Sangaré,0.912,0.891
27eniaCdcAbXMigvOtlnK1,afrobeat,Oliver Twist,D'banj,0.85,0.9
7KVy6npMdvnDl7QRcpTMtr,afrobeat,Penda Yoro,Ali Farka Touré,0.718,0.643
3AF8QpzspG8btjyd4s3bjM,afrobeat,Tchwa,Rokia Traoré,0.606,0.268
2gK3Mp8XdNk4wtXyytQTC9,afrobeat,Dieuf Dieul,Cheikh Lô,0.768,0.579
2yrAD69v6rP6bZhIjs7kOy,afrobeat,Set,Youssou N'Dour,0.786,0.684
4M90HjffovjuEZS0LdlIks,afrobeat,Icole,Oliver N'Goma,0.924,0.712
1r8V85iUIeGJ5LOFcYbyEo,afrobeat,Umhome,Miriam Makeba,0.561,0.0278
5ft8cAiZ0zvICdvry3Byc0,afrobeat,Olufunmi,Styl-Plus,0.749,0.676
60sz0jcrIVGFvYsXL5IYT6,afrobeat,If to Say,Various Artists,0.943,0.81
3Ua7O14g34JlkpisL2SKLk,afrobeat,Sinebar,Youssou N'Dour,0.638,0.895
3bpOaamnFP5260EVqP9GhR,afrobeat,Summer Time,Vybz Kartel,0.38,0.84
4TaMW4NABBxR4wDyM5eidA,afrobeat,Windeck - Original Version,Cabo Snoop,0.182,0.865
57RNz3JTaBPJVCC7RN1Yqf,afrobeat,Iriarer - Bonus Track,Various Artists,0.307,0.542
2Hoakj7ynnOYZQFX4FpYIz,afrobeat,Nightwalk,JuJu (Justin Adams & Juldeh Camara),0.665,0.877
3kIKWXjCRXQwhyCxRsyy3B,afrobeat,5 and 6,Naeto C,0.889,0.894
2JOO9SzSalKixThDuSAtwY,afrobeat,Premier Gaou,Various Artists,0.937,0.902
7BjvaB3uKVoGTo7DX1RGkZ,afrobeat,This Land,Various Artists,0.172,0.271
0WjBwFCJ9lFyPrNKAogEew,afrobeat,Iyo Djeli,Various Artists,0.836,0.734
5jpppsCfiupH7Ar5bxThow,afrobeat,Global Threat,Sierra Leone's Refugee All Stars,0.871,0.714
6OZkU6QsLT5gvOtPoxSNq9,afrobeat,You Bad,Wande Coal,0.802,0.744
1zHlj4dQ8ZAtrayhuDDmkY,afrobeat,Timber (feat. Ke$ha),Pitbull,0.825,0.965
2RgMZ2GGe2nsQnY4sMs4i8,afrobeat,Tajabone,Various Artists,0.313,0.263
0XI9lbqgooxei1HiqS5Ytw,afrobeat,Dance for Me (feat. Wizkid),Various Artists,0.399,0.834
3EREjXvpkJSZlbwdMLVpig,afrobeat,Nguva Ye Kufara,Chiwoniso,0.682,0.756
1r51oCzMSTi5KQrphqCleh,afrobeat,Yer Bounda Fara,Ali Farka Touré,0.733,0.367
0HG5ldTrMipekbNk62gR0x,afrobeat,L'Africain,Tiken Jah Fakoly,0.595,0.644
4jeGUWern0RJoveazBN6yR,afrobeat,Mogo - feat. Bertrand Cantat,Amadou & Mariam,0.522,0.701
4AK6YQjLlHjfamPiNMcAmK,afrobeat,Chatma,Tinariwen,0.297,0.42
6H0nXYPj3l6aSBtq7E6zkv,afrobeat,Ye Te Oh,Papa Wemba,0.688,0.747
1LclSylnnHUKdrCZjS0V6M,afrobeat,Dirty Money,Antibalas,0.893,0.956
5CFdHtJAlGttkKbAJjJEV7,afrobeat,Juru nani - feat. Kasse Mady Diabate,Bassekou Kouyate,0.925,0.59
4HGBN3YT56aVuUXUkrUZIC,afrobeat,Sakanto,Rokia Traoré,0.505,0.32
6jzbUvXYVbH6NrUS3WRMoL,afrobeat,Water No Get Enemy,Fela Kuti,0.902,0.93
2pfHT1jlF2OaRaKYNjRfqs,afrobeat,Aluguntugui,Various Artists,0.78,0.837
28O4PwkH8bzARStxeL4pxL,afrobeat,Sexy Bitch (feat. Akon),David Guetta,0.853,0.633
6S1cd5F5cpflZq6bAXQmg1,afrobeat,Nomvula (After the Rain),Freshlyground,0.418,0.295
7MZphbmObz8ASYkG1CYhsS,afrobeat,Promesses Bla Bla,Tiken Jah Fakoly,0.647,0.454
03tyyOcWAjmBB6XjdxF0w3,afrobeat,Sina Makosa,Les Wanyika,0.711,0.669
0JNwxiyHqK9lbZut80Tpd5,afrobeat,Sai,Kanda Bongo Man,0.822,0.694
4RVe1g73rbOVq05jMs0Tsl,afrobeat,Kaira,Ali Farka Touré,0.201,0.368
2xgnTqh4VipHycDrzUv2s7,afrobeat,Dunya Salam,Various Artists,0.203,0.136
0KCwzRvFRkHnttIa7QYoY2,afrobeat,La Puissance,Magic System,0.476,0.8
6ooW7AxiD8FRyIBwVFKC6X,afrobeat,El Son te Llama,Various Artists,0.938,0.81
5Z7ygHQo02SUrFmcgpwsKW,afrobeat,Wild Ones (feat. Sia),Flo Rida,0.45,0.889
5YgyvTZmdkIfFOnj8ri8mZ,afrobeat,Pakurumo,WizKid,0.967,0.737
